entry_time,exit_time,side,lots,entry_price,exit_price,entry_fill,exit_fill,bars_held,reason,gross_pnl,commission,net_pnl,equity_after
2026-02-03 04:00:00+00:00,2026-02-03 07:00:00+00:00,-1,0.01,4809.05,4902.031397836862,4808.85,4902.231397836862,3,sl,-92.98139783686202,0.07,-93.45139783686164,9906.548602163139
2026-02-03 07:00:00+00:00,2026-02-03 16:00:00+00:00,-1,0.01,4881.1,4964.750608982356,4880.900000000001,4964.900608982356,9,sl,-83.65060898235606,0.07,-84.07060898235551,9822.477993180783
2026-02-03 16:00:00+00:00,2026-02-04 00:00:00+00:00,-1,0.01,4935.03,4999.05823665675,4934.88,4999.258236656749,7,sl,-64.02823665674987,0.07,-64.44823665674932,9758.029756524033
2026-02-04 00:00:00+00:00,2026-02-04 01:00:00+00:00,-1,0.01,4947.32,5008.808121207375,4947.12,5009.008121207375,1,sl,-61.488121207375116,0.07,-61.95812120737476,9696.071635316657
2026-02-04 01:00:00+00:00,2026-02-04 04:00:00+00:00,-1,0.01,5016.61,5078.673255406848,5016.41,5078.873255406847,3,sl,-62.06325540684793,0.07,-62.533255406847566,9633.538379909809
2026-02-04 04:00:00+00:00,2026-02-04 15:00:00+00:00,-1,0.01,5069.7,4952.643620897343,5069.5,4952.793620897342,11,tp,117.05637910265705,0.07,116.6363791026576,9750.174759012467
2026-02-04 15:00:00+00:00,2026-02-04 16:00:00+00:00,-1,0.02,4986.03,4891.14672179854,4985.88,4891.29672179854,1,tp,189.76655640291938,0.14,189.02655640292085,9939.201315415388
2026-02-04 16:00:00+00:00,2026-02-04 23:00:00+00:00,-1,0.01,4920.54,4973.180807736392,4920.39,4973.330807736392,6,sl,-52.64080773639216,0.07,-53.010807736391435,9886.190507678997
2026-02-04 23:00:00+00:00,2026-02-05 00:00:00+00:00,-1,0.01,4967.95,5019.121382670763,4967.8,5019.321382670762,1,sl,-51.171382670762796,0.07,-51.59138267076225,9834.599125008235
2026-02-05 00:00:00+00:00,2026-02-05 02:00:00+00:00,-1,0.01,5012.17,4908.737432182868,5011.97,4908.937432182868,2,tp,103.4325678171317,0.07,102.96256781713208,9937.561692825368
