datetime,equity,drawdown,position_side
2026-02-02 11:00:00+00:00,10000.0,0.0,0
2026-02-02 12:00:00+00:00,10000.0,0.0,0
2026-02-02 13:00:00+00:00,10000.0,0.0,0
2026-02-02 14:00:00+00:00,10000.0,0.0,0
2026-02-02 15:00:00+00:00,10000.0,0.0,0
2026-02-02 16:00:00+00:00,10000.0,0.0,0
2026-02-02 17:00:00+00:00,10000.0,0.0,0
2026-02-02 18:00:00+00:00,10000.0,0.0,0
2026-02-02 19:00:00+00:00,10000.0,0.0,0
2026-02-02 20:00:00+00:00,10000.0,0.0,0
2026-02-02 21:00:00+00:00,10000.0,0.0,0
2026-02-02 23:00:00+00:00,10000.0,0.0,0
2026-02-03 00:00:00+00:00,10000.0,0.0,0
2026-02-03 01:00:00+00:00,10000.0,0.0,0
2026-02-03 02:00:00+00:00,10000.0,0.0,0
2026-02-03 03:00:00+00:00,10000.0,0.0,0
2026-02-03 04:00:00+00:00,10000.1,0.0,-1
2026-02-03 05:00:00+00:00,9984.08,-0.0016019839801602043,-1
2026-02-03 06:00:00+00:00,9927.96,-0.007213927860721503,-1
2026-02-03 07:00:00+00:00,9870.49860216314,-0.01296001018358428,-1
2026-02-03 08:00:00+00:00,9875.36860216314,-0.012473015053535486,-1
2026-02-03 09:00:00+00:00,9871.61860216314,-0.012848011303572937,-1
2026-02-03 10:00:00+00:00,9885.61860216314,-0.01144802530343303,-1
2026-02-03 11:00:00+00:00,9871.048602163139,-0.012905010733578859,-1
2026-02-03 12:00:00+00:00,9873.99860216314,-0.012610013683549304,-1
2026-02-03 13:00:00+00:00,9854.628602163139,-0.014546994313743067,-1
2026-02-03 14:00:00+00:00,9870.378602163139,-0.012972010063585504,-1
2026-02-03 15:00:00+00:00,9852.74860216314,-0.014734992433761751,-1
2026-02-03 16:00:00+00:00,9802.107993180784,-0.019799002691894718,-1
2026-02-03 17:00:00+00:00,9828.48799318078,-0.017161029071631195,-1
2026-02-03 18:00:00+00:00,9848.937993180783,-0.015116049521426422,-1
2026-02-03 19:00:00+00:00,9830.327993180781,-0.016977030911612845,-1
2026-02-03 20:00:00+00:00,9813.157993180783,-0.018694013741784365,-1
2026-02-03 21:00:00+00:00,9810.417993180781,-0.01896801100181189,-1
2026-02-03 23:00:00+00:00,9809.937993180782,-0.019016010521816673,-1
2026-02-04 00:00:00+00:00,9689.599756524032,-0.031049713850458294,-1
2026-02-04 01:00:00+00:00,9665.861635316658,-0.03342350223331192,-1
2026-02-04 02:00:00+00:00,9672.301635316657,-0.03277950867324764,-1
2026-02-04 03:00:00+00:00,9642.961635316657,-0.035713479333541076,-1
2026-02-04 04:00:00+00:00,9622.80837990981,-0.037728784721171915,-1
2026-02-04 05:00:00+00:00,9623.82837990981,-0.03762678574116163,-1
2026-02-04 06:00:00+00:00,9626.288379909809,-0.037380788201137105,-1
2026-02-04 07:00:00+00:00,9618.658379909808,-0.03814378057121348,-1
2026-02-04 08:00:00+00:00,9619.858379909809,-0.03802378177120147,-1
2026-02-04 09:00:00+00:00,9643.23837990981,-0.03568580515096753,-1
2026-02-04 10:00:00+00:00,9654.82837990981,-0.034526816740851674,-1
2026-02-04 11:00:00+00:00,9655.948379909809,-0.03441481786084055,-1
2026-02-04 12:00:00+00:00,9662.208379909809,-0.03378882412077788,-1
2026-02-04 13:00:00+00:00,9649.37837990981,-0.035071811290906196,-1
2026-02-04 14:00:00+00:00,9717.158379909808,-0.02829387907022851,-1
2026-02-04 15:00:00+00:00,9880.374759012466,-0.0119724043747097,-1
2026-02-04 16:00:00+00:00,9955.281315415388,-0.004481823640224758,-1
2026-02-04 17:00:00+00:00,9961.681315415388,-0.0038418300401608096,-1
2026-02-04 18:00:00+00:00,9932.311315415387,-0.0067788006704546655,-1
